ProductKey,product_item_code,subcategory,productcategory,EnglishProductName,Color,Size,ProductLine,ModelName,EnglishDescription,Product_Status
210,FR-R92B-58,Road Frames,Components,"HL Road Frame - Black, 58",Black,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
211,FR-R92R-58,Road Frames,Components,"HL Road Frame - Red, 58",Red,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
212,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
213,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
214,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
215,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
216,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
217,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
218,SO-B909-M,Socks,Clothing,"Mountain Bike Socks, M",White,M,"M ",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
219,SO-B909-L,Socks,Clothing,"Mountain Bike Socks, L",White,L,"M ",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
220,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
221,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
222,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
223,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate
224,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate
225,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Current
226,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
227,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
228,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
229,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
230,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
231,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
232,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
233,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
234,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
235,LJ-0192-X,Jerseys,Clothing,"Long-Sleeve Logo Jersey, XL",Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
236,LJ-0192-X,Jerseys,Clothing,"Long-Sleeve Logo Jersey, XL",Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
